taxid,group_id,disposition,description,penalty,type
955705,2,GUILTY,Failed to conduct an investigation.,"PRE-TRIAL SUSPENSION DAYS (12 day(s) ), VACATION DAYS (13 day(s) )",charge
933593,1,GUILTY,SENT THREATENING TEXT MESSAGES TO A PERSON KNOWN TO THE DEPARTMENT.,VACATION DAYS (10 day(s) ),charge
933593,1,GUILTY,CAUSED UNAUTHORIZED DEPARTMENT COMPUTER INQUIRIES TO BE MADE THAT WERE NOT RELATED TO OFFICIAL DEPARTMENT BUSINESS.,VACATION DAYS (10 day(s) ),charge
958214,1,PLEADED GUILTY,Failed to activate body-worn camera.,VACATION DAYS (35 day(s) ),charge
958214,1,PLEADED GUILTY,Failure to notify.,VACATION DAYS (35 day(s) ),charge
958214,1,PLEADED GUILTY,Failed to make proper notifications to Patrol Supervisor.,VACATION DAYS (35 day(s) ),charge
958214,1,PLEADED GUILTY,Improper Vehicle Pursuit,VACATION DAYS (35 day(s) ),charge
936668,1,GUILTY,"WHILE OFF-DUTY, FAILED TO PROMPTLY NOTIFY OPERATIONS UNIT AFTER WITNESSING A POLICE INCIDENT .",VACATION DAYS (30 day(s) ),charge
936668,1,GUILTY,RESPONDENT DID LEAVE HER OFF-DUTY FIREARM INSIDE OF AN UNATTENDED VEHICLE.,VACATION DAYS (30 day(s) ),charge
934370,1,PLEADED GUILTY,Wrongfully stopped an individual known to the Department.,"SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (25 day(s) )",charge
934370,1,PLEADED GUILTY,Wrongfully used physical force.,"SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (25 day(s) )",charge
929653,1,NOLO CONTENDRE,FAILURE TO SUPERVISE.,VACATION DAYS (20 day(s) ),charge
929653,1,NOLO CONTENDRE,FAILURE TO SUPERVISE.,VACATION DAYS (20 day(s) ),charge
929653,1,NOLO CONTENDRE,FAILURE TO TAKE POLICE ACTION.,VACATION DAYS (20 day(s) ),charge
929653,1,NOLO CONTENDRE,FAILURE TO TAKE POLICE ACTION.,VACATION DAYS (20 day(s) ),charge
949969,1,GUILTY,"WHILE ON-DUTY, SAID POLICE OFFICER IMPROPERLY POINTED A FIREARM AT A PERSON KNOWN TO THE DEPARTMENT",VACATION DAYS (15 day(s) ),charge
953619,1,PLEADED GUILTY,False/misleading statements.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge
953619,1,PLEADED GUILTY,False written statement.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge
953619,1,PLEADED GUILTY,Failed to make entries in activity log.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge
953619,1,PLEADED GUILTY,False/misleading statements.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge
955072,1,GUILTY,"WHILE ON-DUTY, WRONGFULLY USED FORCE AGAINST A PERSON KNOWN TO THE DEPARTMENT.",VACATION DAYS (7 day(s) ),charge
961596,1,GUILTY,Failed to notify the radio dispatcher about a vehicle pursuit.,VACATION DAYS (45 day(s) ),charge
961596,1,GUILTY,Failed to make required entries in Activity Log.,VACATION DAYS (45 day(s) ),charge
961596,1,GUILTY,Failed to activate body-worn camera.,VACATION DAYS (45 day(s) ),charge
961596,1,GUILTY,Made inaccurate statements during an official Department interview.,VACATION DAYS (45 day(s) ),charge
961596,1,GUILTY,Failed to notify a radio dispatcher regarding the termination of a vehicle pursuit.,VACATION DAYS (45 day(s) ),charge
961597,1,PLEADED GUILTY,Operated a motor vehicle while under the influence of an intoxicant.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (30 day(s) )",charge
961597,1,PLEADED GUILTY,Operated a motor vehicle while their ability was impaired.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (30 day(s) )",charge
961597,1,PLEADED GUILTY,Refused to submit to a breathalyzer test.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (30 day(s) )",charge
961597,1,PLEADED GUILTY,Unfit for Duty,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (30 day(s) )",charge
941319,1,GUILTY,FAILED TO SUPERVISE HIS SUBORDINATES AND ENSURE THAT A COMPLAINT REPORT WAS PREPARED FOR AN ALLEGED ASSAULT.,VACATION DAYS (20 day(s) ),charge
941319,1,GUILTY,FAILED TO NOTIFY PLATOON COMMANDER/DESK OFFICER OF ALLEGED ASSAULT OR REFER ASSAULT TO PRECINCT DETECTIVE SQUAD FOR FURTHER INVESTIGATION.,VACATION DAYS (20 day(s) ),charge
934373,1,GUILTY,"WHILE OFF-DUTY, DID WRONGFULLY OPERATE A MOTOR VEHICLE WHILE UNDER THE INFLUENCE OF AN INTOXICANT.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (19 day(s) )",charge
934373,1,GUILTY,"WHILE OFF-DUTY, DID WRONGFULLY OPERATE A MOTOR VEHICLE WHILE HIS ABILITY WAS IMPAIRED BY AN INTOXICANT.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (19 day(s) )",charge
934373,1,GUILTY,"WHILE OFF-DUTY, REFUSED TO SUBMIT TO A CHEMICAL BREATH TEST.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (19 day(s) )",charge
934373,1,GUILTY,"WHILE OFF-DUTY, DID CONSUME AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (19 day(s) )",charge
934373,1,GUILTY,"WHILE OFF-DUTY, DID CONSUME AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY WHILE ARMED.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (19 day(s) )",charge
934373,1,GUILTY,"WHILE OFF-DUTY, IMPROPERLY CARRIED AN UNAUTHORIZED FIREARM.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (19 day(s) )",charge
962913,1,PLEADED GUILTY,Wrongful entry of a premises.,VACATION DAYS (15 day(s) ),charge
962913,1,PLEADED GUILTY,Wrongful search of a premises.,VACATION DAYS (15 day(s) ),charge
962913,1,PLEADED GUILTY,Wrongful entry of a premises.,VACATION DAYS (15 day(s) ),charge
962913,1,PLEADED GUILTY,Wrongful search of a premises.,VACATION DAYS (15 day(s) ),charge
962913,1,PLEADED GUILTY,Wrongful entry of a premises.,VACATION DAYS (15 day(s) ),charge
962913,1,PLEADED GUILTY,Wrongful entry of a premises.,VACATION DAYS (15 day(s) ),charge
962913,1,PLEADED GUILTY,Wrongful search of a premises.,VACATION DAYS (15 day(s) ),charge
962913,1,PLEADED GUILTY,Wrongful entry of a premises.,VACATION DAYS (15 day(s) ),charge
962913,1,PLEADED GUILTY,Wrongful search of a premises.,VACATION DAYS (15 day(s) ),charge
962913,1,PLEADED GUILTY,Wrongful entry of a premises.,VACATION DAYS (15 day(s) ),charge
962913,1,PLEADED GUILTY,Wrongful search of a premises.,VACATION DAYS (15 day(s) ),charge
949973,1,PLEADED GUILTY,"WHILE ON-DUTY, ENGAGED IN PROHIBITED CONDUCT RESULTING IN INJURY.",VACATION DAYS (25 day(s) ),charge
954468,1,GUILTY,"AFTER BECOMING AWARE OF ALLEGATIONS OF A CRIMINAL NATURE AGAINST HIM, FAILED TO NOTIFY THE INTERNAL AFFAIRS BUREAU.",VACATION DAYS (10 day(s) ),charge
954468,1,GUILTY,WRONGFULLY UTILIZED A DEPARTMENT COMPUTER DATABASE TO MAKE AN INQUIRY UNRELATED TO THE OFFICIAL BUSINESS OF THE DEPARTMENT.,VACATION DAYS (10 day(s) ),charge
948594,1,PLEADED GUILTY,Made inappropriate comments.,"TRAINING, VACATION DAYS (20 day(s) )",charge
948594,1,PLEADED GUILTY,Made inappropriate comments.,"TRAINING, VACATION DAYS (20 day(s) )",charge
959447,1,GUILTY,Failed to activate body-worn camera while on duty.,VACATION DAYS (5 day(s) ),charge
959447,1,PLEADED GUILTY,Failed to maintain activity log while on duty.,VACATION DAYS (5 day(s) ),charge
946723,1,GUILTY,"ON APPROXIMATELY SIX (6) OCCASIONS, WRONGFULLY CONDUCTED PERSONAL BUSINESS AND WRONGFULLY USED DEPARTMENT EQUIPMENT, TO WIT: A DEPARTMENT VEHICLE, FOR A NON-DEPARTMENT PURPOSE OR NON-CITY PURPOSE DURING HIS SCHEDULED TOUR.","DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($343), VACATION DAYS (20 day(s) )",charge
946723,1,GUILTY,"ON APPROXIMATELY SIX (6) OCCASIONS, WHILE ON DUTY, INCLUDING DURING OVERTIME PERIODS, WAS ABSENT FROM HIS ASSIGNMENT WITHOUT PERMISSION OR POLICE NECESSITY.","DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($343), VACATION DAYS (20 day(s) )",charge
946723,1,GUILTY,"ON APPROXIMATELY SIX (6) OCCASIONS, WHILE ON-DUTY, FAILED TO MAKE REQUIRED ENTRIES IN THE COMMAND/MOVEMENT LOG AS TO HIS MOVEMENTS DURING HIS TOURS.","DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($343), VACATION DAYS (20 day(s) )",charge
946723,1,GUILTY,"ON APPROXIMATELY FOUR (4) OCCASIONS, WHILE ON-DUTY OPERATED A DEPARTMENT VEHICLE WITH ITS TURRET LIGHTS ACTIVATED WITHOUT POLICE NECESSITY.","DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($343), VACATION DAYS (20 day(s) )",charge
946723,1,GUILTY,"ON APPROXIMATELY TWO (2) OCCASIONS, WRONGFULLY MADE OR CAUSED TO BE MADE INACCURATE ENTRIES IN DEPARTMENT RECORDS.","DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($343), VACATION DAYS (20 day(s) )",charge
946723,1,GUILTY,"ON APPROXIMATELY FOUR (4) OCCASIONS, WRONGFULLY TRANSPORTED A CIVILIAN IN A DEPARTMENT CAR WITHOUT SUPERVISORY PERMISSION.","DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($343), VACATION DAYS (20 day(s) )",charge
946723,2,PLEADED GUILTY,Off-duty employment without permission.,VACATION DAYS (30 day(s) ),charge
946723,2,PLEADED GUILTY,"Made computer inquiries unrelated to official Department business.
Misused Department electronics (email, MDT, cellphone, radio, computer).",VACATION DAYS (30 day(s) ),charge
946723,3,PLEADED GUILTY,Driving a Vehicle with a Suspended Registration,VACATION DAYS (30 day(s) ),charge
946723,3,GUILTY,Made misleading or inaccurate statements during an official Department interview.,VACATION DAYS (30 day(s) ),charge
929498,1,GUILTY,COMPUTER MISUSE,VACATION DAYS (30 day(s) ),charge
929498,1,GUILTY,CRIMINAL ASSOCIATION,VACATION DAYS (30 day(s) ),charge
929498,1,GUILTY,WRONGFULLY ENGAGED IN A TELEPHONE CONVERSATION WITH A PERSON INCARCERATED ADVISING  OPTIONS AND RIGHTS REGARDING LEGAL REPRESENTATION AS WELL AS THE POSSIBLE METHODS OF IDENTIFYING HIM AS THE PERPETRATOR.,VACATION DAYS (30 day(s) ),charge
962207,1,PLEADED GUILTY,Misused Department electronics.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
962207,1,PLEADED GUILTY,"Misused Department electronics.
Made improper contact/communications.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
962207,1,PLEADED GUILTY,Involved in a physical altercation.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
962207,1,PLEADED GUILTY,Failed to make proper notifications.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
962207,1,PLEADED GUILTY,Involved in a physical altercation.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
962207,1,PLEADED GUILTY,"Failed to make proper notifications.
Failed to identify themselves as a police officer.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
962207,1,PLEADED GUILTY,Involved in a physical altercation.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
962207,1,PLEADED GUILTY,Failed to make proper notifications.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
962207,2,PLEADED GUILTY,Failed to properly safeguard Department issued MetroCard.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
962207,2,PLEADED GUILTY,Made misleading or inaccurate statements during an official Department interview.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
964868,1,PLEADED GUILTY,Involved in a physical altercation.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge
964868,1,PLEADED GUILTY,Failed to remain at the scene of an off-duty incident.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge
964868,1,PLEADED GUILTY,Failed to make proper notifications (Operations Unit).,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge
964868,1,PLEADED GUILTY,Failed to cooperate in an investigation.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge
964868,1,PLEADED GUILTY,Possessed an unauthorized duplicate shield.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge
954471,1,PLEADED GUILTY,Made computer inquiries unrelated to official Department business.,VACATION DAYS (20 day(s) ),charge
954471,1,PLEADED GUILTY,Made computer inquiries unrelated to official Department business.,VACATION DAYS (20 day(s) ),charge
952390,1,GUILTY,Failed to safeguard a prisoner resulting is loss,"PRE-TRIAL SUSPENSION DAYS (11 day(s) ), VACATION DAYS (12 day(s) )",charge
952390,1,GUILTY,Failed to activate their body-worn camera.,"PRE-TRIAL SUSPENSION DAYS (11 day(s) ), VACATION DAYS (12 day(s) )",charge
953625,1,GUILTY,Unfit for duty.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge
953625,1,GUILTY,Possessed an unauthorized duplicate shield.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge
953625,1,GUILTY,Failed to safeguard Department property (shield).,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge
940924,1,GUILTY,WHILE ON-DUTY WRONGFULLY USED UNJUSTIFIED FORCE AGAINST A PERSON KNOWN TO THE DEPARTMENT.,VACATION DAYS (10 day(s) ),charge
940924,1,GUILTY,WHILE ON-DUTY FAILED TO RENDER REASONABLE AID TO A SICK OR INJURED PERSON.,VACATION DAYS (10 day(s) ),charge
940924,2,GUILTY,FAILED TO FOLLOW DEPARTMENT PROCEDURES IN THE HANDLING OF POTENTIAL EVIDENCE FOR A SEX CRIME INVESTIGATION.,VACATION DAYS (15 day(s) ),charge
940924,2,GUILTY,"HAVING BECOME AWARE OF AN ALLEGATION OF MISCONDUCT, WRONGFULLY FAILED TO REPORT SAID ALLEGATION TO THE INTERNAL AFFAIRS BUREAU AS REQUIRED.",VACATION DAYS (15 day(s) ),charge
940924,3,GUILTY,Made computer inquiries unrelated to official Department business.,VACATION DAYS (20 day(s) ),charge
964870,1,PLEADED GUILTY,Made computer inquiries unrelated to official Department business.,VACATION DAYS (30 day(s) ),charge
964870,1,PLEADED GUILTY,Made misleading or inaccurate statements during an official Department interview.,VACATION DAYS (30 day(s) ),charge
954472,1,GUILTY,"ON DUTY,  ABUSED HIS AUTHORITY AS A MEMBER OF THE NEW YORK CITY POLICE DEPARTMENT, IN THAT HE DID NOT OBTAIN MEDICAL TREATMENT FOR A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (25 day(s) )",charge
954472,1,GUILTY,"ON DUTY, WRONGFULLY USED FORCE, IN THAT HE USED PHYSICAL FORCE, NAMELY STRUCK A PERSON KNOWN TO THE DEPARTMENT ABOUT THE FACE, WITHOUT POLICE NECESSITY","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (25 day(s) )",charge
949983,1,GUILTY,DID WRONGFULLY FAIL TO MAKE REQUIRED ACTIVITY LOG ENTRIES REGARDING HER WHEREABOUTS AND ACTIVITIES DURING SCHEDULED TOUR OF DUTY.,VACATION DAYS (20 day(s) ),charge
949983,1,GUILTY,DID WRONGFULLY CREATE AND SEND AN OFFICIAL DOCUMENT SHE MISREPRESENTED TO CCRB WHICH WAS INACCURATE.,VACATION DAYS (20 day(s) ),charge
939773,1,GUILTY,WHILE OFF DUTY FAILED TO REPORT SAID INCIDENT TO MEMBER'S COMMANDING OFFICER .,REPRIMAND,charge
937958,1,GUILTY,Made computer inquiries unrelated to official Department business.,VACATION DAYS (30 day(s) ),charge
937958,1,GUILTY,Wrongfully disseminated confidential Department information.,VACATION DAYS (30 day(s) ),charge
937958,1,GUILTY,Made computer inquiries unrelated to official Department business.,VACATION DAYS (30 day(s) ),charge
937958,2,PLEADED GUILTY,Wrongfully discourteous to a person known to the department.,VACATION DAYS (10 day(s) ),charge
937958,2,PLEADED GUILTY,Wrongfully discourteous to a person known to the department.,VACATION DAYS (10 day(s) ),charge
937958,2,PLEADED GUILTY,Wrongfully discourteous to a person known to the department.,VACATION DAYS (10 day(s) ),charge
937958,2,PLEADED GUILTY,Wrongfully used force against a person known to the department.,VACATION DAYS (10 day(s) ),charge
937856,1,GUILTY,"WHILE ON-DUTY, WAS INVOLVED IN A PHYSICAL ALTERCATION WITH ANOTHER MEMBER OF THE SERVICE.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge
937856,1,GUILTY,WRONGFULLY FAILED TO REPORT ALLEGATION OF MISCONDUCT TO THE INTERNAL AFFAIRS BUREAU.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge
937856,1,GUILTY,MADE INACCURATE ENTRIES IN A DEPARTMENT RECORD RELATING TO AN INJURY TO A MEMBER OF THE SERVICE.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge
937856,1,GUILTY,"PROVIDED INACCURATE, INCOMPLETE, OR MISLEADING STATEMENTS TO A SUPERVISING MEMBER OF THE SERVICE.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge
942937,1,PLEADED GUILTY,Wrongful used physical force.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge
942937,1,PLEADED GUILTY,Insubordination (failure to obey orders/directions after having been instructed).,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge
942937,1,PLEADED GUILTY,Failed to make required entries in Department Logs.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge
942937,1,PLEADED GUILTY,Failed to make proper notifications.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge
942937,1,PLEADED GUILTY,Off duty employment without permission.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge
942937,1,PLEADED GUILTY,Failed to prepare required reports.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge
942937,1,PLEADED GUILTY,Failure to Render Aid.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge
944312,1,GUILTY,"FAILED TO COMPLY WITH STOP PROCEDURES IN THAT HE DID NOT NOTIFY THE DISPATCHER ABOUT THE STOP, ALLOWED A SEARCH OF AN INDIVIDUAL’S PROPERTY TO BE CONDUCTED WITHOUT CONSENT, FAILED TO MAKE ACTIVITY LOG ENTRIES DOCUMENTING THE STOP, AND DID NOT PROVIDE AN EXPLANATION FOR THE STOP.",VACATION DAYS (20 day(s) ),charge
944312,1,GUILTY,WAS DISCOURTEOUS TOWARDS A CIVILIAN IN THAT HE USED PROFANITY WHEN ADDRESSING SAID CIVILIAN DURING A STOP.,VACATION DAYS (20 day(s) ),charge
944312,1,GUILTY,MADE INACCURATE AND MISLEADING STATEMENTS TO THE INTERNAL AFFAIRS BUREAU COMMAND CENTER WHEN PROVIDING DETAILS ABOUT A STOP HE HAD CONDUCTED.,VACATION DAYS (20 day(s) ),charge
936116,1,GUILTY,"WHILE ON-DUTY, WRONGFULLY ENTERED PREMISES WITHOUT SUFFICIENT LEGAL AUTHORITY.",VACATION DAYS (3 day(s) ),charge
